metodo,tamanhovetor,tempo
merge,165000,25465.51
merge,35000,4863.96
merge,115000,17401.61
merge,130000,19543.05
bubble,35000,2058048.00
bubble,115000,23833845.00
bubble,130000,30383499.00
bubble,135000,32836769.00
bubble,165000,48954793.00
bubble,30000,1490590.00
bubble,60000,6392146.00
bubble,120000,25992026.00
bubble,145000,37833448.00
bubble,155000,43307818.00
bubble,100000,17912697.00
bubble,110000,21717792.00
bubble,170000,51908793.00
bubble,180000,58164516.00
bubble,190000,65000009.00
bubble,25000,1012197.00
bubble,150000,40527275.00
bubble,160000,46059555.00
bubble,20000,625203.50
bubble,195000,68634147.00
bubble,70000,8770139.00
bubble,105000,19887696.00
bubble,140000,35244201.00
bubble,175000,54993618.00
bubble,185000,61659462.00
bubble,200000,71783927.00
bubble,45000,3519342.00
bubble,65000,7516171.00
bubble,75000,10042344.00
bubble,85000,12926647.00
bubble,125000,28169823.00
bubble,55000,5330411.00
bubble,80000,11461316.00
bubble,90000,14503559.00
bubble,5000,24566.77
bubble,10000,132262.38
bubble,15000,329427.50
bubble,40000,2738169.00
bubble,50000,4375322.00
bubble,95000,16248882.00
heap,25000,339932.67
heap,150000,12253064.00
heap,160000,13923912.00
heap,20000,218975.00
heap,195000,20667508.00
heap,70000,2660426.00
heap,105000,6006324.00
heap,140000,10675954.00
heap,45000,1100479.00
heap,65000,2301011.00
heap,75000,3057205.00
heap,85000,3926421.00
heap,125000,8487344.00
heap,175000,16649700.00
heap,185000,18620458.00
heap,200000,21779415.00
heap,5000,13780.42
heap,10000,54680.29
heap,15000,122578.78
heap,40000,870371.50
heap,50000,1358327.00
heap,55000,1645083.00
heap,80000,3482939.00
heap,90000,4398030.00
heap,95000,4905566.00
heap,35000,670095.00
heap,115000,7217173.00
heap,130000,9196417.00
heap,135000,9897388.00
heap,165000,14825167.00
heap,30000,491160.67
heap,60000,1954291.00
heap,120000,7849452.00
heap,145000,11433287.00
heap,155000,13118703.00
heap,100000,5435468.00
heap,110000,6581084.00
heap,170000,15735724.00
heap,180000,17653037.00
heap,190000,19649447.00
insertion,135000,3065212.00
insertion,165000,4603031.00
insertion,35000,200138.50
insertion,115000,2226400.00
insertion,130000,2846580.00
insertion,145000,3546486.00
insertion,155000,4068278.00
insertion,30000,147193.14
insertion,60000,594780.00
insertion,120000,2423948.00
insertion,180000,5445186.00
insertion,190000,6084636.00
insertion,100000,1670105.00
insertion,110000,2024639.00
insertion,170000,4852704.00
insertion,25000,101852.40
insertion,150000,3820168.00
insertion,160000,4297208.00
insertion,20000,65396.17
insertion,195000,6431371.00
insertion,70000,804843.00
insertion,105000,1853340.00
insertion,140000,3287070.00
insertion,85000,1206702.00
insertion,125000,2612560.00
insertion,175000,5158088.00
insertion,185000,5791243.00
insertion,200000,6730165.00
insertion,45000,329992.25
insertion,65000,702183.50
insertion,75000,938237.00
insertion,40000,261509.50
insertion,50000,414540.33
insertion,55000,502956.00
insertion,80000,1057163.00
insertion,90000,1356339.00
insertion,5000,4162.43
insertion,10000,16384.14
insertion,15000,37104.62
insertion,95000,1510717.00
radix,20000,4027.61
radix,195000,39729.07
radix,140000,28308.29
radix,70000,14112.45
radix,105000,21139.62
radix,75000,15111.05
radix,85000,17209.72
radix,125000,25185.22
radix,175000,35497.06
radix,185000,37550.68
radix,200000,40738.43
radix,45000,9086.67
radix,65000,13080.65
radix,15000,3009.89
radix,40000,8052.30
radix,50000,10094.92
radix,55000,11060.91
radix,80000,16215.18
radix,90000,18178.21
radix,5000,1002.44
radix,10000,2011.51
radix,95000,19254.53
radix,130000,26222.55
radix,135000,27247.67
radix,165000,33434.97
radix,35000,7027.71
radix,115000,23352.88
radix,120000,24170.09
radix,145000,29393.16
radix,155000,31482.24
radix,30000,6022.31
radix,60000,12045.05
radix,170000,34423.91
radix,180000,36935.72
radix,190000,38506.13
radix,100000,20137.46
radix,110000,22159.63
radix,160000,32300.09
radix,25000,5044.18
radix,150000,30352.36
selection,100000,5883260.00
selection,110000,7127927.00
selection,170000,16995820.00
selection,180000,19074723.00
selection,190000,21240679.00
selection,25000,368271.00
selection,150000,13224163.00
selection,160000,15073359.00
selection,20000,235758.40
selection,195000,22359061.00
selection,70000,2895208.00
selection,105000,6501675.00
selection,140000,11538947.00
selection,175000,18020188.00
selection,185000,20138759.00
selection,200000,23527233.00
selection,45000,1199787.00
selection,65000,2488895.00
selection,75000,3322807.00
selection,85000,4249546.00
selection,125000,9207688.00
selection,55000,1783854.00
selection,80000,3780673.00
selection,90000,4759257.00
selection,5000,14888.40
selection,10000,59080.47
selection,15000,132470.00
selection,40000,943192.00
selection,50000,1474782.00
selection,95000,5306705.00
selection,35000,721570.50
selection,115000,7797785.00
selection,130000,9923183.00
selection,135000,10730160.00
selection,165000,16025007.00
selection,30000,529710.50
selection,60000,2121569.00
selection,120000,8471901.00
selection,145000,12420929.00
selection,155000,14136060.00
shell,75000,131071.25
shell,85000,154296.29
shell,125000,336583.67
shell,175000,687707.50
shell,185000,756006.50
shell,200000,1058086.00
shell,45000,46274.64
shell,65000,95353.58
shell,15000,5636.38
shell,40000,44423.60
shell,50000,62233.33
shell,55000,68769.47
shell,80000,173632.67
shell,90000,193987.50
shell,5000,751.42
shell,10000,2922.33
shell,95000,199056.67
shell,130000,409055.67
shell,135000,407958.00
shell,165000,586413.00
shell,35000,29189.53
shell,115000,302485.75
shell,120000,383151.67
shell,145000,463199.33
shell,155000,553247.50
shell,30000,22832.73
shell,60000,93361.58
shell,170000,699188.00
shell,180000,836425.50
shell,190000,876609.50
shell,100000,256315.00
shell,110000,295942.00
shell,160000,701247.00
shell,25000,14518.09
shell,150000,556246.50
shell,20000,11044.47
shell,195000,871387.50
shell,140000,504436.50
shell,70000,121063.44
shell,105000,245085.60
quick,115000,9668.37
quick,130000,11212.42
quick,135000,11731.14
quick,165000,14545.52
quick,35000,2689.38
quick,60000,4760.96
quick,120000,10205.28
quick,145000,12443.99
quick,155000,13481.72
quick,30000,2312.73
quick,110000,9400.26
quick,170000,14829.55
quick,180000,15732.44
quick,190000,16921.16
quick,100000,8393.45
quick,150000,12953.02
quick,160000,13803.03
quick,25000,1854.87
quick,195000,17219.56
quick,20000,1454.58
quick,105000,8816.42
quick,140000,12163.54
quick,70000,5772.07
quick,65000,5281.44
quick,75000,6144.47
quick,85000,7032.49
quick,125000,10762.37
quick,175000,15745.57
quick,185000,16540.93
quick,200000,17820.80
quick,45000,3614.82
quick,10000,680.14
quick,15000,1059.26
quick,40000,3100.83
quick,50000,3964.48
quick,55000,4362.43
quick,80000,6551.29
quick,90000,7442.16
quick,5000,321.38
quick,95000,7927.38
merge,30000,4152.66
merge,60000,8743.74
merge,120000,18318.94
merge,145000,22404.69
merge,155000,24144.15
merge,100000,15151.38
merge,110000,16717.69
merge,170000,26873.76
merge,180000,28649.40
merge,190000,30169.21
merge,25000,3454.08
merge,150000,23554.02
merge,160000,25177.76
merge,20000,2709.00
merge,195000,30929.98
merge,70000,10503.00
merge,105000,16191.33
merge,140000,22044.30
merge,175000,28269.95
merge,185000,29920.40
merge,200000,32380.17
merge,45000,6547.97
merge,65000,9623.68
merge,75000,11459.40
merge,85000,13091.42
merge,125000,19586.70
merge,55000,8146.79
merge,80000,12164.75
merge,90000,13875.24
merge,5000,614.32
merge,10000,1301.52
merge,15000,2021.10
merge,40000,5843.77
merge,50000,7457.76
merge,95000,14731.92
merge,35000,5067.56
merge,115000,18152.68
merge,130000,20400.08
merge,135000,21598.73
merge,165000,26791.64
bubble,85000,12876696.00
bubble,125000,28164932.00
bubble,175000,54964847.00
bubble,185000,61572446.00
bubble,200000,71921101.00
bubble,45000,3493667.00
bubble,65000,7529996.00
bubble,75000,10054434.00
bubble,40000,2735764.00
bubble,50000,4373558.00
bubble,55000,5357295.00
bubble,80000,11443947.00
bubble,90000,14531618.00
bubble,5000,24682.44
bubble,10000,131887.88
bubble,15000,337910.33
bubble,95000,16790187.00
bubble,135000,34922290.00
bubble,165000,49609444.00
bubble,35000,2096648.00
bubble,115000,23982084.00
bubble,130000,30544139.00
bubble,145000,39039686.00
bubble,155000,43434336.00
bubble,30000,1514157.00
bubble,60000,6430559.00
bubble,120000,26095840.00
bubble,180000,58360860.00
bubble,190000,65274548.00
bubble,100000,18035632.00
bubble,110000,21770348.00
bubble,170000,52096922.00
bubble,25000,1015244.00
bubble,150000,40655113.00
bubble,160000,46199998.00
bubble,20000,626035.00
bubble,195000,68605629.00
bubble,70000,8727554.00
bubble,105000,19895464.00
bubble,140000,35217795.00
heap,55000,1647603.00
heap,80000,3483381.00
heap,90000,4419759.00
heap,5000,13811.27
heap,10000,54819.19
heap,15000,123235.89
heap,40000,871669.00
heap,50000,1357161.00
heap,95000,4901497.00
heap,35000,667497.00
heap,115000,7205645.00
heap,130000,9186763.00
heap,135000,9911841.00
heap,165000,14847391.00
heap,30000,488818.33
heap,60000,1960650.00
heap,120000,7838688.00
heap,145000,11425205.00
heap,155000,13059351.00
heap,100000,5432842.00
heap,110000,6595514.00
heap,170000,15732999.00
heap,180000,17626412.00
heap,190000,19641237.00
heap,25000,360655.67
heap,150000,12225561.00
heap,160000,13920040.00
heap,20000,217912.00
heap,195000,20686446.00
heap,70000,2673907.00
heap,105000,6007742.00
heap,140000,10651590.00
heap,175000,16657611.00
heap,185000,18664557.00
heap,200000,21746073.00
heap,45000,1103451.00
heap,65000,2296115.00
heap,75000,3064990.00
heap,85000,3925556.00
heap,125000,8492378.00
insertion,25000,101814.90
insertion,150000,3815342.00
insertion,160000,4299912.00
insertion,20000,65738.17
insertion,195000,6434032.00
insertion,70000,804402.50
insertion,105000,1854777.00
insertion,140000,3281470.00
insertion,85000,1210498.00
insertion,125000,2621827.00
insertion,175000,5167325.00
insertion,185000,5813213.00
insertion,200000,6721123.00
insertion,45000,335066.00
insertion,65000,700456.50
insertion,75000,933786.50
insertion,40000,265855.75
insertion,50000,413262.00
insertion,55000,501740.50
insertion,80000,1074067.00
insertion,90000,1361675.00
insertion,5000,4159.91
insertion,10000,16342.95
insertion,15000,37282.28
insertion,95000,1518200.00
insertion,135000,3066306.00
insertion,165000,4563943.00
insertion,35000,201714.80
insertion,115000,2231897.00
insertion,130000,2834259.00
insertion,145000,3539525.00
insertion,155000,4037002.00
insertion,30000,147392.71
insertion,60000,593760.50
insertion,120000,2420003.00
insertion,180000,5451917.00
insertion,190000,6079009.00
insertion,100000,1685217.00
insertion,110000,2031647.00
insertion,170000,4858591.00
radix,25000,5041.07
radix,150000,30330.61
radix,160000,32412.94
radix,20000,4022.98
radix,195000,39628.47
radix,70000,14098.80
radix,105000,21212.52
radix,140000,28433.45
radix,45000,9061.80
radix,65000,13079.55
radix,75000,15184.09
radix,85000,17359.30
radix,125000,25334.63
radix,175000,35614.00
radix,185000,37681.55
radix,200000,40968.46
radix,5000,1000.42
radix,10000,2009.70
radix,15000,3014.73
radix,40000,8069.93
radix,50000,10108.30
radix,55000,11149.63
radix,80000,16152.47
radix,90000,18196.12
radix,95000,19243.08
radix,35000,7053.60
radix,115000,23245.04
radix,130000,26223.73
radix,135000,27288.79
radix,165000,33408.62
radix,30000,6045.53
radix,60000,12103.45
radix,120000,24271.38
radix,145000,29585.17
radix,155000,31463.64
radix,100000,20232.78
radix,110000,22176.85
radix,170000,34410.91
radix,180000,36692.31
radix,190000,38671.29
selection,5000,14901.80
selection,10000,59588.05
selection,15000,132863.62
selection,40000,941905.50
selection,50000,1491283.00
selection,55000,1797820.00
selection,80000,3766067.00
selection,90000,4755962.00
selection,95000,5306617.00
selection,35000,721186.50
selection,115000,7794027.00
selection,130000,9929957.00
selection,135000,10727525.00
selection,165000,16022712.00
selection,30000,530955.50
selection,60000,2126826.00
selection,120000,8460424.00
selection,145000,12367582.00
selection,155000,14134418.00
selection,100000,5879686.00
selection,110000,7113314.00
selection,170000,17041625.00
selection,180000,19055086.00
selection,190000,21254362.00
selection,25000,366624.33
selection,150000,13212105.00
selection,160000,15067656.00
selection,20000,235430.20
selection,195000,22365249.00
selection,70000,2892561.00
selection,105000,6518146.00
selection,140000,11515350.00
selection,45000,1203212.00
selection,65000,2488066.00
selection,75000,3319084.00
selection,85000,4253564.00
selection,125000,9189913.00
selection,175000,18002392.00
selection,185000,20113462.00
selection,200000,23511827.00
insertion,5000,4173.40
insertion,10000,16338.89
insertion,15000,36975.36
insertion,40000,264159.50
insertion,50000,413010.33
insertion,55000,501857.50
insertion,80000,1066085.00
insertion,90000,1369896.00
insertion,95000,1502831.00
insertion,35000,201917.00
insertion,115000,2229072.00
insertion,130000,2830820.00
insertion,135000,3085603.00
insertion,165000,4571308.00
insertion,30000,147128.71
insertion,60000,594421.50
insertion,120000,2410502.00
insertion,145000,3516864.00
insertion,155000,4085304.00
insertion,100000,1659131.00
insertion,110000,2030263.00
insertion,170000,4860253.00
insertion,180000,5403079.00
insertion,190000,6126207.00
insertion,25000,102062.30
insertion,150000,3814816.00
insertion,160000,4311492.00
insertion,20000,65427.12
insertion,195000,6444928.00
insertion,70000,807095.50
insertion,105000,1854327.00
insertion,140000,3270046.00
insertion,45000,333675.00
insertion,65000,699923.00
insertion,75000,940172.50
insertion,85000,1205295.00
insertion,125000,2610082.00
insertion,175000,5152316.00
insertion,185000,5796484.00
insertion,200000,6719244.00
radix,130000,26335.28
radix,135000,27386.26
radix,165000,33530.97
radix,35000,7060.81
radix,115000,23281.20
radix,120000,24192.33
radix,145000,29304.22
radix,155000,31478.53
radix,30000,6029.29
radix,60000,12147.37
radix,170000,34631.61
radix,180000,36451.22
radix,190000,38559.54
radix,100000,20275.04
radix,110000,22308.83
radix,160000,32274.73
radix,25000,5024.63
radix,150000,30401.97
radix,20000,4031.21
radix,195000,39662.54
radix,140000,28470.22
radix,70000,14101.33
radix,105000,21161.20
radix,75000,15105.14
radix,85000,17309.24
radix,125000,25226.49
radix,175000,35710.27
radix,185000,37466.29
radix,200000,40854.04
radix,45000,9100.41
radix,65000,13086.34
radix,15000,3009.79
radix,40000,8056.53
radix,50000,10100.07
radix,55000,11079.17
radix,80000,16173.49
radix,90000,18134.95
radix,5000,999.72
radix,10000,2012.94
radix,95000,19126.84
selection,40000,938137.00
selection,50000,1476980.00
selection,55000,1778211.00
selection,80000,3768856.00
selection,90000,4763369.00
selection,5000,14902.48
selection,10000,59136.61
selection,15000,132538.25
selection,95000,5325552.00
selection,135000,10726972.00
selection,165000,16015340.00
selection,35000,722215.00
selection,115000,7789948.00
selection,130000,9941897.00
selection,145000,12352601.00
selection,155000,14139590.00
selection,30000,528578.00
selection,60000,2124211.00
selection,120000,8443330.00
selection,180000,19047698.00
selection,190000,21244423.00
selection,100000,5891011.00
selection,110000,7131636.00
selection,170000,16996914.00
selection,25000,367408.33
selection,150000,13225382.00
selection,160000,15071509.00
selection,20000,234902.00
selection,195000,22363673.00
selection,70000,2889168.00
selection,105000,6490755.00
selection,140000,11572639.00
selection,85000,4249473.00
selection,125000,9203176.00
selection,175000,18018507.00
selection,185000,20138271.00
selection,200000,23543098.00
selection,45000,1190101.00
selection,65000,2489209.00
selection,75000,3307581.00
shell,110000,296035.25
shell,170000,698824.50
shell,180000,835541.00
shell,190000,876876.00
shell,100000,256709.25
shell,150000,557004.50
shell,160000,700248.00
shell,25000,14508.26
shell,195000,871417.00
shell,20000,11037.72
shell,105000,244369.40
shell,140000,502797.00
shell,70000,120981.33
shell,65000,95143.25
shell,75000,131028.50
shell,85000,154738.71
shell,125000,336035.00
shell,175000,684589.00
shell,185000,754341.00
shell,200000,1064626.00
shell,45000,46337.12
shell,10000,2918.68
shell,15000,5645.75
shell,40000,44263.88
shell,50000,62528.63
shell,55000,68747.94
shell,80000,173606.50
shell,90000,193923.50
shell,5000,751.05
shell,95000,199473.67
shell,115000,300898.00
shell,130000,411493.00
shell,135000,408273.00
shell,165000,581690.50
shell,35000,29221.33
shell,60000,94100.42
shell,120000,383280.00
shell,145000,466603.33
shell,155000,555010.50
shell,30000,22773.48
quick,135000,11623.02
quick,165000,14382.73
quick,35000,2665.31
quick,115000,9645.08
quick,130000,11153.49
quick,145000,12444.12
quick,155000,13525.35
quick,30000,2309.61
quick,60000,4742.37
quick,120000,10165.91
quick,180000,16049.29
quick,190000,16703.62
quick,100000,8535.99
quick,110000,9360.68
quick,170000,14876.67
quick,25000,1857.70
quick,150000,12913.76
quick,160000,14207.79
quick,20000,1456.77
quick,195000,17116.30
quick,70000,5755.08
quick,105000,8799.29
quick,140000,12119.33
quick,85000,6952.51
quick,125000,10722.41
quick,175000,15484.53
quick,185000,16374.97
quick,200000,18125.76
quick,45000,3562.83
quick,65000,5348.94
quick,75000,6139.68
quick,40000,3122.33
quick,50000,3973.32
quick,55000,4352.03
quick,80000,6533.34
quick,90000,7344.25
quick,5000,317.33
quick,10000,675.93
quick,15000,1060.84
quick,95000,7890.39
merge,70000,10793.11
merge,105000,16642.56
merge,140000,22469.56
merge,185000,30471.65
merge,200000,33111.97
merge,45000,6719.20
merge,65000,9918.65
merge,75000,11659.91
merge,85000,13319.39
merge,125000,19974.97
merge,175000,29217.84
merge,80000,12549.43
merge,90000,14195.87
merge,5000,628.00
merge,10000,1330.73
merge,15000,2067.36
merge,40000,5988.53
merge,50000,7660.66
merge,55000,8422.36
merge,95000,15078.59
merge,35000,5189.62
merge,115000,18561.81
merge,130000,20882.62
merge,135000,22228.41
merge,165000,27565.51
merge,30000,4408.49
merge,60000,9305.94
merge,120000,19523.49
merge,145000,23983.46
merge,155000,26086.13
merge,100000,16206.67
merge,110000,17961.30
merge,170000,28762.33
merge,180000,30255.55
merge,190000,31999.24
merge,25000,3706.37
merge,150000,25099.69
merge,160000,26781.51
merge,20000,2882.00
merge,195000,32817.00
bubble,65000,7489509.00
bubble,75000,10047057.00
bubble,85000,12919699.00
bubble,125000,28052547.00
bubble,175000,54919944.00
bubble,185000,61679825.00
bubble,200000,71764890.00
bubble,45000,3502515.00
bubble,10000,131713.50
bubble,15000,329797.25
bubble,40000,2740376.00
bubble,50000,4366577.00
bubble,55000,5349854.00
bubble,80000,11461327.00
bubble,90000,14506032.00
bubble,5000,24601.67
bubble,95000,16235787.00
bubble,115000,23816161.00
bubble,130000,30348198.00
bubble,135000,32874680.00
bubble,165000,48741485.00
bubble,35000,2055313.00
bubble,60000,6382592.00
bubble,120000,25962973.00
bubble,145000,37766124.00
bubble,155000,43288312.00
bubble,30000,1479963.00
bubble,110000,21731134.00
bubble,170000,51916495.00
bubble,180000,58094809.00
bubble,190000,64987828.00
bubble,100000,17918851.00
bubble,150000,40505731.00
bubble,160000,46004671.00
bubble,25000,1014206.00
bubble,195000,68538503.00
bubble,20000,622806.00
bubble,105000,19890885.00
bubble,140000,35213391.00
bubble,70000,8753071.00
heap,20000,218633.60
heap,195000,20690598.00
heap,70000,2659251.00
heap,105000,5984577.00
heap,140000,10638149.00
heap,200000,21779050.00
heap,45000,1098974.00
heap,65000,2300117.00
heap,75000,3076735.00
heap,85000,3927147.00
heap,125000,8492019.00
heap,175000,16634378.00
heap,185000,18636008.00
heap,90000,4401870.00
heap,5000,13821.16
heap,10000,54727.95
heap,15000,122721.89
heap,40000,869312.50
heap,50000,1355457.00
heap,55000,1641784.00
heap,80000,3499628.00
heap,95000,4911425.00
heap,35000,667032.00
heap,115000,7195636.00
heap,130000,9210732.00
heap,135000,9909776.00
heap,165000,14805338.00
heap,30000,489332.67
heap,60000,1968664.00
heap,120000,7815641.00
heap,145000,11433316.00
heap,155000,13056051.00
heap,100000,5431301.00
heap,110000,6579085.00
heap,170000,15710343.00
heap,180000,17681716.00
heap,190000,19607151.00
heap,25000,341432.33
heap,150000,12229860.00
heap,160000,13904363.00
