metodo,tamanhovetor,tempo
radix,145000,29393.16
radix,155000,31482.24
radix,30000,6022.31
radix,60000,12045.05
radix,170000,34423.91
radix,180000,36935.72
radix,190000,38506.13
radix,100000,20137.46
radix,110000,22159.63
radix,160000,32300.09
radix,25000,5044.18
radix,150000,30352.36
quick,115000,9668.37
quick,130000,11212.42
quick,135000,11731.14
quick,165000,14545.52
quick,35000,2689.38
quick,60000,4760.96
quick,120000,10205.28
quick,145000,12443.99
quick,155000,13481.72
quick,30000,2312.73
quick,110000,9400.26
quick,170000,14829.55
quick,180000,15732.44
quick,190000,16921.16
quick,100000,8393.45
quick,150000,12953.02
quick,160000,13803.03
quick,25000,1854.87
quick,195000,17219.56
quick,20000,1454.58
quick,105000,8816.42
quick,140000,12163.54
quick,70000,5772.07
quick,65000,5281.44
quick,75000,6144.47
quick,85000,7032.49
quick,125000,10762.37
quick,175000,15745.57
quick,185000,16540.93
quick,200000,17820.80
quick,45000,3614.82
quick,10000,680.14
quick,15000,1059.26
quick,40000,3100.83
quick,50000,3964.48
quick,55000,4362.43
quick,80000,6551.29
quick,90000,7442.16
quick,5000,321.38
quick,95000,7927.38
merge,30000,4152.66
merge,60000,8743.74
merge,120000,18318.94
merge,145000,22404.69
merge,155000,24144.15
merge,100000,15151.38
merge,110000,16717.69
merge,170000,26873.76
merge,180000,28649.40
merge,190000,30169.21
merge,25000,3454.08
merge,150000,23554.02
merge,160000,25177.76
merge,20000,2709.00
merge,195000,30929.98
merge,70000,10503.00
merge,105000,16191.33
merge,140000,22044.30
merge,175000,28269.95
merge,185000,29920.40
merge,200000,32380.17
merge,45000,6547.97
merge,65000,9623.68
merge,75000,11459.40
merge,85000,13091.42
merge,125000,19586.70
merge,55000,8146.79
merge,80000,12164.75
merge,90000,13875.24
merge,5000,614.32
merge,10000,1301.52
merge,15000,2021.10
merge,40000,5843.77
merge,50000,7457.76
merge,95000,14731.92
merge,35000,5067.56
merge,115000,18152.68
merge,130000,20400.08
merge,135000,21598.73
merge,165000,26791.64
radix,25000,5041.07
radix,150000,30330.61
radix,160000,32412.94
radix,20000,4022.98
radix,195000,39628.47
radix,70000,14098.80
radix,105000,21212.52
radix,140000,28433.45
radix,45000,9061.80
radix,65000,13079.55
radix,75000,15184.09
radix,85000,17359.30
radix,125000,25334.63
radix,175000,35614.00
radix,185000,37681.55
radix,200000,40968.46
radix,5000,1000.42
radix,10000,2009.70
radix,15000,3014.73
radix,40000,8069.93
radix,50000,10108.30
radix,55000,11149.63
radix,80000,16152.47
radix,90000,18196.12
radix,95000,19243.08
radix,35000,7053.60
radix,115000,23245.04
radix,130000,26223.73
radix,135000,27288.79
radix,165000,33408.62
radix,30000,6045.53
radix,60000,12103.45
radix,120000,24271.38
radix,145000,29585.17
radix,155000,31463.64
radix,100000,20232.78
radix,110000,22176.85
radix,170000,34410.91
radix,180000,36692.31
radix,190000,38671.29
radix,130000,26335.28
radix,135000,27386.26
radix,165000,33530.97
radix,35000,7060.81
radix,115000,23281.20
radix,120000,24192.33
radix,145000,29304.22
radix,155000,31478.53
radix,30000,6029.29
radix,60000,12147.37
radix,170000,34631.61
radix,180000,36451.22
radix,190000,38559.54
radix,100000,20275.04
radix,110000,22308.83
radix,160000,32274.73
radix,25000,5024.63
radix,150000,30401.97
radix,20000,4031.21
radix,195000,39662.54
radix,140000,28470.22
radix,70000,14101.33
radix,105000,21161.20
radix,75000,15105.14
radix,85000,17309.24
radix,125000,25226.49
radix,175000,35710.27
radix,185000,37466.29
radix,200000,40854.04
radix,45000,9100.41
radix,65000,13086.34
radix,15000,3009.79
radix,40000,8056.53
radix,50000,10100.07
radix,55000,11079.17
radix,80000,16173.49
radix,90000,18134.95
radix,5000,999.72
radix,10000,2012.94
radix,95000,19126.84
quick,135000,11623.02
quick,165000,14382.73
quick,35000,2665.31
quick,115000,9645.08
quick,130000,11153.49
quick,145000,12444.12
quick,155000,13525.35
quick,30000,2309.61
quick,60000,4742.37
quick,120000,10165.91
quick,180000,16049.29
quick,190000,16703.62
quick,100000,8535.99
quick,110000,9360.68
quick,170000,14876.67
quick,25000,1857.70
quick,150000,12913.76
quick,160000,14207.79
quick,20000,1456.77
quick,195000,17116.30
quick,70000,5755.08
quick,105000,8799.29
quick,140000,12119.33
quick,85000,6952.51
quick,125000,10722.41
quick,175000,15484.53
quick,185000,16374.97
quick,200000,18125.76
quick,45000,3562.83
quick,65000,5348.94
quick,75000,6139.68
quick,40000,3122.33
quick,50000,3973.32
quick,55000,4352.03
quick,80000,6533.34
quick,90000,7344.25
quick,5000,317.33
quick,10000,675.93
quick,15000,1060.84
quick,95000,7890.39
merge,70000,10793.11
merge,105000,16642.56
merge,140000,22469.56
merge,185000,30471.65
merge,200000,33111.97
merge,45000,6719.20
merge,65000,9918.65
merge,75000,11659.91
merge,85000,13319.39
merge,125000,19974.97
merge,175000,29217.84
merge,80000,12549.43
merge,90000,14195.87
merge,5000,628.00
merge,10000,1330.73
merge,15000,2067.36
merge,40000,5988.53
merge,50000,7660.66
merge,55000,8422.36
merge,95000,15078.59
merge,35000,5189.62
merge,115000,18561.81
merge,130000,20882.62
merge,135000,22228.41
merge,165000,27565.51
merge,30000,4408.49
merge,60000,9305.94
merge,120000,19523.49
merge,145000,23983.46
merge,155000,26086.13
merge,100000,16206.67
merge,110000,17961.30
merge,170000,28762.33
merge,180000,30255.55
merge,190000,31999.24
merge,25000,3706.37
merge,150000,25099.69
merge,160000,26781.51
merge,20000,2882.00
merge,195000,32817.00
